Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
Y,Post,163,7-Aug-13,731217,8563128,YWB,AFY,GGE,FEA,,,,
Y,Post,164,7-Aug-13,731864,8562924,FAY,BAG,UNB1,UNB2,FAF,XXF,BAB,BWB
N,Post,165,8-Aug-13,731875,8561503,GEG,YBA,,,,,,
Y,Post,166,10-Aug-13,732212,8562031,EYF,GGA,,,,,,
N,Post,167,11-Aug-13,731170,8560948,WEW,BAA,,,,,,
Y,Post,168,11-Aug-13,731923,8562649,EAA,FAF,EBW,,,,,
N,Post,169,22-Aug-13,731902,8561561,YBA,GEG,,,,,,
N,Post,170,22-Aug-13,730570,8562219,WEE,BWY,,,,,,
N,Post,171,22-Aug-13,730554,8562244,GFY,EYE,,,,,,
N,Post,172,22-Aug-13,730481,8562003,FWF,YAF,,,,,,
N,Post,173,23-Aug-13,730612,8562128,WEE,BWY,EYE,GFY,,,,
N,Post,174,23-Aug-13,730593,8562083,FWF,YAF,,,,,,
N,Post,175,24-Aug-13,731248,8561547,WYW,WEF,BBF,,,,,
N,Post,176,24-Aug-13,731210,8561455,BBF,WEF,,,,,,
MAIN,PRE,1,13-Jun-14,731346,8559678,EEF,WYA,,,,,,
MAIN,PRE,2,14-Jun-14,731556,8559762,WYA,EEF,,,,,,
MAIN,PRE,3,15-Jun-14,731050,8561318,BWA,EGW,YYF,BBF,,,,
MAIN,PRE,4,16-Jun-14,731546,8560897,AGF,WBW,GAG,,,,,
MAIN,PRE,5,16-Jun-14,731345,8559678,EEF,WYA,,,,,,
MAIN,PRE,6,16-Jun-14,731349,8559656,EEF,WYA,,,,,,
MAIN,PRE,7,16-Jun-14,731361,8559638,EEF,WYA,,,,,,
MAIN,PRE,8,16-Jun-14,731551,8559652,EEF,WYA,,,,,,
MAIN,PRE,9,16-Jun-14,730612,8562080,BWY,GFY,,,,,,
MAIN,PRE,10,17-Jun-14,731545,8559644,EEF,WYA,,,,,,
MAIN,PRE,11,17-Jun-14,731339,8559678,EEF,WYA,,,,,,
MAIN,PRE,12,18-Jun-14,731418,8559718,EEF,WYA,,,,,,
MAIN,PRE,13,18-Jun-14,731346,8559664,EEF,WYA,FFG,,,,,
MAIN,PRE,14,18-Jun-14,731325,8559742,EEF,WYA,,,,,,
EARLY,PRE,15,18-Jun-14,731725,8563168,YYE,FFW,EAW,,,,,
EARLY,PRE,16,18-Jun-14,731885,8563286,YYE,FFW,,,,,,
EARLY,PRE,17,18-Jun-14,731830,8563101,BAB,FFW,YYE,,,,,
MAIN,PRE,18,19-Jun-14,731467,8559744,EEF,WYA,,,,,,
MAIN,PRE,19,20-Jun-14,731418,8559568,EEF,WYA,,,,,,
MAIN,PRE,20,20-Jun-14,731337,8559680,EEF,WYA,,,,,,
MAIN,PRE,21,19-Jun-14,731447,8559524,FFG,WYA,,,,,,
MAIN,PRE,22,20-Jun-14,730742,8562702,BWE,YBF,,,,,,
MAIN,PRE,23,20-Jun-14,731904,8563552,FFW,BAB,YYE,,,,,
MAIN,PRE,24,21-Jun-14,731182,8561462,YEW,AAA,,,,,,
EARLY,PRE,25,21-Jun-14,731733,8563172,FFW,BAB,YYE,,,,,
EARLY,PRE,26,22-Jun-14,731754,8563226,FFW,BAB,YYE,,,,,
EARLY,PRE,27,22-Jun-14,731686,8563222,FFW,BAB,,,,,,
EARLY,PRE,28,22-Jun-14,731677,8563104,FFW,BAB,YYE,,,,,
EARLY,PRE,29,23-Jun-14,731597,8559891,GWE,YBY,FFG,,,,,
EARLY,PRE,30,24-Jun-14,731514,8559674,WYA,EEF,,,,,,
EARLY,PRE,31,24-Jun-14,731385,8559672,WYA,EEF,,,,,,
EARLY,PRE,32,24-Jun-14,731369,8559704,WYA,EEF,,,,,,
EARLY,PRE,33,24-Jun-14,731030,8561187,BBF,EGW,BWA,YYF,,,,
EARLY,PRE,34,24-Jun-14,731703,8563202,YYE,FFW,,,,,,
EARLY,POST,35,24-Jun-14,731834,8563221,FFW,YYE,,,,,,
EARLY,POST,36,24-Jun-14,731840,8563222,FFW,XXB,YYE,,,,,
EARLY,POST,37,25-Jun-14,731818,8563108,FFW,YYE,BAB,,,,,
EARLY,POST,38,26-Jun-14,731744,8563228,YYE,FFW,BAB,,,,,
EARLY,POST,39,26-Jun-14,731752,8563212,YYE,FFW,BAB,XXW,,,,
EARLY,POST,40,26-Jun-14,731770,8563176,YYE,FFW,BAB,,,,,
MAIN,PRE,41,26-Jun-14,730629,8562116,EAE,BWY,,,,,,
MAIN,PRE,42,26-Jun-14,731445,8561248,GAG,XXY,,,,,,
MAIN,PRE,43,26-Jun-14,731557,8560910,WBW,AGF,,,,,,
EARLY,POST,44,27-Jun-14,731109,8563069,AFY,FEA,FBF,GGE,YWB,,,
EARLY,POST,45,27-Jun-14,731102,8563069,AFY,FEA,FBF,GGE,YWB,,,
EARLY,POST,46,27-Jun-14,731734,8563122,YYE,BAB,FFW,,,,,
EARLY,POST,47,27-Jun-14,731713,8563110,YYE,BAB,FFW,,,,,
MAIN,PRE,48,27-Jun-14,,,WYA,EEF,,,,,,
MAIN,PRE,49,27-Jun-14,,,WYA,EEF,FFG,GWE,YBY,,,
MAIN,PRE,50,27-Jun-14,731348,8559713,FFG,GWE,YBY,,,,,
MAIN,PRE,51,27-Jun-14,731557,8560910,AGF,WBW,,,,,,
EARLY,POST,52,28-Jun-14,731238,8563182,AFY,YWB,GGE,FEA,FBF,,,
EARLY,POST,53,28-Jun-14,731601,8562957,BWB,BGB,,,,,,
EARLY,POST,54,28-Jun-14,732327,8563871,AEB,AGG,UNBKathleens,UNBAEG,,,,
EARLY,POST,55,28-Jun-14,731715,8563214,YYE,BAB,FFW,,,,,
EARLY,POST,56,28-Jun-14,731752,8563212,YYE,BAB,FFW,,,,,
EARLY,POST,57,30-Jun-14,731922,8563290,FFW,BAB,,,,,,
MAIN,PRE,58,30-Jun-14,731406,8559572,GWE,WYA,FFG,YBY,EEF,,,
MAIN,PRE,59,30-Jun-14,731353,8559598,GWE,WYA,FFG,YBY,EEF,,,
MAIN,PRE,60,30-Jun-14,731329,8559678,GWE,WYA,FFG,YBY,EEF,,,
MAIN,PRE,61,1-Jul-14,731422,8559484,GWE,WYA,FFG,YBY,EEF,,,
MAIN,PRE,62,1-Jul-14,731383,8559600,GWE,WYA,FFG,YBY,EEF,,,
EARLY,POST,63,1-Jul-14,731198,8562900,FBF,GGE,FEA,YWB,AFY,,,
