,Focal.Letter,Social.Partner,Treatment.Period,Group.ID.Populations,Treatment,num_interactions,ordered.pair.period,scans.where.at.least.1.seen,SRI
1796,KK,UP,2,T1,Treatment,1,KK_UP_2,43,0.023255814
1797,KK,US,2,T1,Treatment,3,KK_US_2,45,0.066666667
1798,KK,UT,2,T1,Treatment,2,KK_UT_2,43,0.046511628
1799,KK,UU,2,T1,Treatment,1,KK_UU_2,44,0.022727273
1800,KK,UX,1,T1,Treatment,1,KK_UX_1,35,0.028571429
1801,KK,UZ,1,T1,Treatment,3,KK_UZ_1,35,0.085714286
1802,KK,UZ,2,T1,Treatment,5,KK_UZ_2,43,0.11627907
1803,KL,KA,2,T1,Treatment,1,KA_KL_2,47,0.021276596
1804,KL,KM,1,T1,Treatment,1,KL_KM_1,47,0.021276596
1805,KL,KT,2,T1,Treatment,1,KL_KT_2,48,0.020833333
1806,KL,KV,1,T1,Treatment,3,KL_KV_1,46,0.065217391
1807,KL,KX,2,T1,Treatment,1,KL_KX_2,47,0.021276596
1808,KL,UA,1,T1,Treatment,1,KL_UA_1,45,0.022222222
1809,KL,UA,2,T1,Treatment,1,KL_UA_2,46,0.02173913
1810,KL,UC,1,T1,Treatment,4,KL_UC_1,47,0.085106383
1811,KL,UD,2,T1,Treatment,1,KL_UD_2,46,0.02173913
1812,KL,UE,1,T1,Treatment,1,KL_UE_1,46,0.02173913
1813,KL,UE,2,T1,Treatment,4,KL_UE_2,45,0.088888889
1814,KL,UH,1,T1,Treatment,2,KL_UH_1,46,0.043478261
1815,KL,UL,1,T1,Treatment,3,KL_UL_1,47,0.063829787
1816,KL,UL,2,T1,Treatment,1,KL_UL_2,46,0.02173913
1817,KL,UM,1,T1,Treatment,2,KL_UM_1,44,0.045454545
1818,KL,UO,1,T1,Treatment,6,KL_UO_1,48,0.125
1819,KL,UO,2,T1,Treatment,2,KL_UO_2,46,0.043478261
1820,KL,UP,2,T1,Treatment,1,KL_UP_2,45,0.022222222
1821,KL,US,1,T1,Treatment,2,KL_US_1,45,0.044444444
1822,KL,US,2,T1,Treatment,2,KL_US_2,45,0.044444444
1823,KL,UT,1,T1,Treatment,2,KL_UT_1,45,0.044444444
1824,KL,UT,2,T1,Treatment,1,KL_UT_2,46,0.02173913
1825,KL,UU,1,T1,Treatment,2,KL_UU_1,47,0.042553191
1826,KL,UU,2,T1,Treatment,3,KL_UU_2,48,0.0625
1827,KL,UX,2,T1,Treatment,1,KL_UX_2,45,0.022222222
1828,KL,UZ,2,T1,Treatment,2,KL_UZ_2,47,0.042553191
1829,KM,KA,2,T1,Treatment,1,KA_KM_2,46,0.02173913
1830,KM,KC,2,T1,Treatment,1,KC_KM_2,48,0.020833333
1831,KM,KK,2,T1,Treatment,2,KK_KM_2,46,0.043478261
1832,KM,KL,1,T1,Treatment,1,KL_KM_1,47,0.021276596
1833,KM,KP,1,T1,Treatment,1,KM_KP_1,45,0.022222222
1834,KM,KS,1,T1,Treatment,1,KM_KS_1,46,0.02173913
1835,KM,KT,1,T1,Treatment,1,KM_KT_1,47,0.021276596
1836,KM,KV,2,T1,Treatment,2,KM_KV_2,47,0.042553191
1837,KM,KZ,1,T1,Treatment,2,KM_KZ_1,47,0.042553191
1838,KM,KZ,2,T1,Treatment,1,KM_KZ_2,47,0.021276596
