"node_ID","eigenvector_centrality","betweeness","degree","network","animal","condition","replicate_num"
"18","0.73697445","0","10","Bats","Bats","Post","1"
"19","0.773821552","0","11","Bats","Bats","Post","1"
"20","0.655604625","0","11","Bats","Bats","Post","1"
"21","0.711159349","2","10","Bats","Bats","Post","1"
"22","0.785515891","108","15","Bats","Bats","Post","1"
"23","0.003841739","0","1","Bats","Bats","Post","1"
"24","0.173251504","16","13","Bats","Bats","Post","1"
"25","0.1164027","0","7","Bats","Bats","Post","1"
"28","0.097761323","12","10","Bats","Bats","Post","1"
"29","0.822674778","0","12","Bats","Bats","Post","1"
"30","0.863601891","0","12","Bats","Bats","Post","1"
"31","0.157354835","0","9","Bats","Bats","Post","1"
"32","0.078794717","0","5","Bats","Bats","Post","1"
"33","0.148849173","2","11","Bats","Bats","Post","1"
"34","0.483183469","26","8","Bats","Bats","Post","1"
"35","0.289270195","79","18","Bats","Bats","Post","1"
"36","0.181507298","245","17","Bats","Bats","Post","1"
"37","0.35691801","27","11","Bats","Bats","Post","1"
"38","0.826503712","49","15","Bats","Bats","Post","1"
"39","0.565503807","0","15","Bats","Bats","Post","1"
"42","1","24","13","Bats","Bats","Post","1"
"44","0.425915515","1","8","Bats","Bats","Post","1"
"43","0.406648286","0","9","Bats","Bats","Post","1"
"45","0.140110921","0","9","Bats","Bats","Post","1"
"40","0.047583069","0","3","Bats","Bats","Post","1"
"NU100","0.978579040066922","0","6","LattanzioMiles","tree lizards","high burn",NA
"Nu101","0.978579040066922","0","6","LattanzioMiles","tree lizards","high burn",NA
"NU102","0.020001049119346","0.0317460317460317","2","LattanzioMiles","tree lizards","high burn",NA
"NU112","1","0","5","LattanzioMiles","tree lizards","high burn",NA
"NU113","1","0","5","LattanzioMiles","tree lizards","high burn",NA
"NU115","1","0","5","LattanzioMiles","tree lizards","high burn",NA
"NU116","0","0.158730158730159","4","LattanzioMiles","tree lizards","high burn",NA
"NU117","0","0","4","LattanzioMiles","tree lizards","high burn",NA
"NU118","0","0","4","LattanzioMiles","tree lizards","high burn",NA
"NU76","0.390902702043066","0.857142857142857","7","LattanzioMiles","tree lizards","high burn",NA
"NU77","0.154554488439754","1","8","LattanzioMiles","tree lizards","high burn",NA
"NU78","0.0553008380387301","0.0158730158730159","5","LattanzioMiles","tree lizards","high burn",NA
"NU79","0.0531948215867518","0.158730158730159","5","LattanzioMiles","tree lizards","high burn",NA
"NU82","1.95182726863834e-19","0","2","LattanzioMiles","tree lizards","high burn",NA
"NU84","0.0521876747265592","0","4","LattanzioMiles","tree lizards","high burn",NA
"NU86","0","0","2","LattanzioMiles","tree lizards","high burn",NA
"NU87","0","0","2","LattanzioMiles","tree lizards","high burn",NA
"NU89","0","0","2","LattanzioMiles","tree lizards","high burn",NA
"NU93","2.02490418388465e-17","0","1","LattanzioMiles","tree lizards","high burn",NA
"NU96","0","0","4","LattanzioMiles","tree lizards","high burn",NA
"NU95","0","0","4","LattanzioMiles","tree lizards","high burn",NA
"NU80","0.0521876747265592","0","4","LattanzioMiles","tree lizards","high burn",NA
"NU98","0","0","2","LattanzioMiles","tree lizards","high burn",NA
"NU108","0","0","2","LattanzioMiles","tree lizards","high burn",NA
"NU94","4.81967984409765e-18","0","1","LattanzioMiles","tree lizards","high burn",NA
"SU102","2.5862323710844e-18","0","1","LattanzioMiles","tree lizards","low burn",NA
"SU106","0.00873307792669876","0","1","LattanzioMiles","tree lizards","low burn",NA
"SU110","0.357824420784906","0","3","LattanzioMiles","tree lizards","low burn",NA
"SU111","0.104582709655578","0","3","LattanzioMiles","tree lizards","low burn",NA
"SU112","0.104582709655578","0","3","LattanzioMiles","tree lizards","low burn",NA
