TREAMENT,TREATEMENT_PERIOD,NODE,DEGREE,DEGREE_NORMALIZED,EIGENVECTOR,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY
C2,1,CH,9,0.346153846,0.160880001,0.604651163,0.050506539
C2,1,CK,5,0.192307692,0.110346626,0.553191489,0.007903129
C2,1,CO,13,0.5,0.263519012,0.65,0.059128926
C2,1,CV,7,0.269230769,0.139004279,0.565217391,0.018064525
C2,1,XU,11,0.423076923,0.217053511,0.619047619,0.041467331
C2,1,CC,14,0.538461538,0.277730844,0.684210526,0.082150158
C2,1,CL,17,0.653846154,0.348112833,0.742857143,0.104623307
C2,1,CS,11,0.423076923,0.215927268,0.634146341,0.054414201
C2,1,CT,6,0.230769231,0.122571607,0.553191489,0.006355734
C2,1,CU,10,0.384615385,0.19948269,0.619047619,0.038484378
C2,1,XA,7,0.269230769,0.174533106,0.577777778,0.008550312
C2,1,XK,8,0.307692308,0.181238265,0.565217391,0.015461538
C2,1,XM,6,0.230769231,0.130575442,0.565217391,0.008923077
C2,1,XP,6,0.230769231,0.145531585,0.565217391,0.005782051
C2,1,XT,9,0.346153846,0.164704675,0.604651163,0.036849676
C2,1,XV,8,0.307692308,0.138526745,0.565217391,0.031675261
C2,1,XX,13,0.5,0.288589896,0.666666667,0.044773739
C2,1,CD,10,0.384615385,0.208824719,0.604651163,0.03298597
C2,1,CM,7,0.269230769,0.14900908,0.565217391,0.01067033
C2,1,CP,4,0.153846154,0.074863422,0.481481481,0.00325641
C2,1,CZ,9,0.346153846,0.217305172,0.604651163,0.016828237
C2,1,XH,10,0.384615385,0.231273156,0.619047619,0.021932094
C2,1,XO,10,0.384615385,0.218789268,0.604651163,0.023478022
C2,1,CE,5,0.192307692,0.107200537,0.541666667,0.008348831
C2,1,XS,9,0.346153846,0.198437873,0.604651163,0.021173769
C2,1,XE,5,0.192307692,0.126138827,0.52,0.001494505
C2,2,CA,9,0.310344828,0.124749646,0.591836735,0.004546165
C2,2,CH,12,0.413793103,0.154510239,0.630434783,0.015372941
C2,2,CP,19,0.655172414,0.238075116,0.743589744,0.051633558
C2,2,CZ,11,0.379310345,0.143022524,0.617021277,0.013561486
C2,2,XE,12,0.413793103,0.16789746,0.630434783,0.011379008
C2,2,XH,18,0.620689655,0.227195463,0.725,0.082429004
C2,2,XK,21,0.724137931,0.26852361,0.783783784,0.053735183
C2,2,XL,17,0.586206897,0.21970887,0.69047619,0.033501474
C2,2,XU,20,0.689655172,0.255294055,0.763157895,0.056925869
C2,2,XV,8,0.275862069,0.117063835,0.568627451,0.002166751
C2,2,CC,10,0.344827586,0.146360317,0.591836735,0.004505201
C2,2,CD,13,0.448275862,0.1842836,0.617021277,0.008696038
C2,2,CE,16,0.551724138,0.216625083,0.69047619,0.022785823
C2,2,XA,18,0.620689655,0.238811146,0.725,0.03610945
C2,2,XP,13,0.448275862,0.185011687,0.644444444,0.0111205
C2,2,XS,17,0.586206897,0.226178214,0.707317073,0.030197054
C2,2,XX,15,0.517241379,0.199313373,0.659090909,0.02485244
C2,2,XZ,11,0.379310345,0.159680087,0.591836735,0.003723015
C2,2,CL,17,0.586206897,0.239459249,0.707317073,0.021196155
C2,2,CO,17,0.586206897,0.235363136,0.707317073,0.027368804
C2,2,XD,10,0.344827586,0.145315445,0.591836735,0.004378941
C2,2,XO,13,0.448275862,0.182930724,0.644444444,0.012319208
C2,2,CS,12,0.413793103,0.172703819,0.617021277,0.007658538
C2,2,CT,13,0.448275862,0.165603773,0.644444444,0.021635068
C2,2,CU,9,0.310344828,0.120367296,0.591836735,0.005800822
C2,2,CV,7,0.24137931,0.075203112,0.547169811,0.014877125
C2,2,XM,11,0.379310345,0.137684571,0.617021277,0.016043173
C2,2,XT,10,0.344827586,0.136834111,0.604166667,0.00599743
C2,2,CK,2,0.068965517,0.02105984,0.453125,0.000492611
C2,2,CM,9,0.310344828,0.107616501,0.591836735,0.01075471
C3,1,EA,1,0.037037037,0.017579671,0.391304348,0
C3,1,ES,11,0.407407407,0.184452807,0.627906977,0.10237345
