"","network","animal","condition","replicate_number","network_id","betweenness_centrality","eigenvector_centrality","degree","node_id"
"84","tits_2015","tits","before",1,1,0.011477267129698,0.000403334512681536,26,"208"
"85","tits_2015","tits","before",1,1,0.0595537165656864,0.0433609533550981,61,"211"
"86","tits_2015","tits","before",1,1,0.0065514014087976,0.24872412418366,76,"250"
"87","tits_2015","tits","before",1,1,9.8517314418009e-05,0.196687829789635,81,"236"
"88","tits_2015","tits","before",1,1,0.00995024875621891,0.591014731978108,99,"267"
"89","tits_2015","tits","before",1,1,0,0.00355349089815882,21,"193"
"90","tits_2015","tits","before",1,1,0.00517215900694547,0.00748942251263703,29,"214"
"91","tits_2015","tits","before",1,1,0.00556622826461751,0.00221358828619061,18,"162"
"92","tits_2015","tits","before",1,1,0,0.000119226623608779,20,"222"
"93","tits_2015","tits","before",1,1,0,0.000281714117867633,22,"200"
"94","tits_2015","tits","before",1,1,0,0.00346074657703221,40,"309"
"95","tits_2015","tits","before",1,1,0,7.61901657748817e-05,19,"155"
"96","tits_2015","tits","before",1,1,0.00970395547017388,6.70740745530149e-05,14,"272"
"97","tits_2015","tits","before",1,1,0.000295551943254027,6.83333736477636e-05,16,"258"
"98","tits_2015","tits","before",1,1,0,0.000245988060674229,19,"183"
"99","tits_2015","tits","before",1,1,0,0.000232386000765797,18,"187"
"100","tits_2015","tits","before",1,1,0.0011083197872026,0.0175535316616987,36,"149"
"101","tits_2015","tits","before",1,1,0.134229840894537,1,110,"335"
"102","tits_2015","tits","before",1,1,0.0344810600463031,0.911587261562259,93,"330"
"103","tits_2015","tits","before",1,1,0.000738879858135067,0.73992024146314,83,"312"
"104","tits_2015","tits","before",1,1,0.0136939067041032,0.569348344570909,81,"273"
"105","tits_2015","tits","before",1,1,0.0305896261267918,0.935116782450441,100,"283"
"106","tits_2015","tits","before",1,1,0.00123146643022511,0.0677664491629711,39,"203"
"107","tits_2015","tits","before",1,1,0.00265996748928624,0.871231821027273,89,"281"
"108","tits_2015","tits","before",1,1,0.00955617949854687,0.893760467948009,94,"319"
"109","tits_2015","tits","before",1,1,0.000886655829762081,0.108330418533116,36,"190"
"110","tits_2015","tits","before",1,1,0.0154672183636274,0.916041072729109,94,"239"
"111","tits_2015","tits","before",1,1,0.0380276833653515,0.727022553890798,91,"296"
"112","tits_2015","tits","before",1,1,0.0102458006994729,0.435313550123452,89,"311"
"113","tits_2015","tits","before",1,1,0.0200975321412738,0.550206395938284,88,"233"
"114","tits_2015","tits","before",1,1,0.0135953893896852,0.664278048680108,85,"339"
"115","tits_2015","tits","before",1,1,0,0.26963009608525,67,"318"
"116","tits_2015","tits","before",1,1,0,0.672321679006789,97,"276"
"117","tits_2015","tits","before",1,1,0.0244815526328752,0.835717790735542,87,"244"
"118","tits_2015","tits","before",1,1,4.92586572090045e-05,0.714063841893116,85,"237"
"119","tits_2015","tits","before",1,1,0.0043840204916014,0.0875296899114444,50,"254"
"120","tits_2015","tits","before",1,1,0,0.376086294306873,81,"225"
"121","tits_2015","tits","before",1,1,4.92586572090045e-05,0.0195469580533947,26,"133"
"122","tits_2015","tits","before",1,1,0.011083197872026,0.0470635391368213,38,"230"
"123","tits_2015","tits","before",1,1,0.000246293286045022,0.630230932429413,93,"245"
"124","tits_2015","tits","before",1,1,0.000738879858135067,0.160529436633161,60,"180"
"125","tits_2015","tits","before",1,1,0.0167972021082705,0.119440511793768,66,"284"
"126","tits_2015","tits","before",1,1,0.000689621200926063,0.81728616580827,90,"331"
"127","tits_2015","tits","before",1,1,0.00044332791488104,0.704477045096292,95,"308"
"128","tits_2015","tits","before",1,1,0.0033495886902123,0.594667411832179,83,"313"
"129","tits_2015","tits","before",1,1,0.000517215900694547,0.0258657538358495,38,"270"
"130","tits_2015","tits","before",1,1,4.92586572090045e-05,0.00359787779541216,13,"99"
"131","tits_2015","tits","before",1,1,0.00463031377764642,0.00296547358814873,13,"119"
"132","tits_2015","tits","before",1,1,0.00970395547017388,1.02981867979139e-05,5,"131"
"133","tits_2015","tits","before",1,1,0.00369439929067534,0.0679535633140329,64,"192"
"134","tits_2015","tits","before",1,1,0.0290133490961036,0.025044939763527,39,"165"
"135","tits_2015","tits","before",1,1,0.000591103886508054,0.163542328345385,72,"249"
"136","tits_2015","tits","before",1,1,0.000591103886508054,0.440908409661511,91,"255"
"137","tits_2015","tits","before",1,1,0.054480074873159,0.0306822428962252,43,"253"
"138","tits_2015","tits","before",1,1,0.00600955617949855,0.00541474010926057,13,"132"
"139","tits_2015","tits","before",1,1,0.0115757844441161,0.0226026957407108,45,"191"
"140","tits_2015","tits","before",1,1,0.00147775971627013,0.0128857366536027,27,"137"
"141","tits_2015","tits","before",1,1,0,0.00199970655681021,24,"264"
"142","tits_2015","tits","before",1,1,0.00396532190532486,0.011995031285608,33,"167"
"143","tits_2015","tits","before",1,1,0.00975321412738289,7.70242876367084e-06,4,"113"
"144","tits_2015","tits","before",1,1,0.000566474557903552,0.020731370447281,28,"243"
"145","tits_2015","tits","before",1,1,0.0120437416876016,0.0218188920877264,39,"198"
"146","tits_2015","tits","before",1,1,0.00359588197625733,0.066152795502396,65,"169"
"147","tits_2015","tits","before",1,1,0,0.190311177363201,70,"248"
"148","tits_2015","tits","before",1,1,0.000541845229299049,0.0851714004269113,77,"241"
"149","tits_2015","tits","before",1,1,0.0010836904585981,0.662331739335331,86,"261"
"150","tits_2015","tits","before",1,1,0,0.00734949878140894,18,"188"
"151","tits_2015","tits","before",1,1,0.000492586572090045,0.205026448897457,72,"202"
"152","tits_2015","tits","before",1,1,0.000246293286045022,3.41778867474441e-05,5,"93"
"153","tits_2015","tits","before",1,1,0.00142850105906113,0.00247061087978243,7,"44"
"154","tits_2015","tits","before",1,1,0,0.00333390297788593,9,"73"
"155","tits_2015","tits","before",1,1,0,0.208061393110192,73,"307"
"156","tits_2015","tits","before",1,1,0.00349736466183932,0.0021103675796247,13,"126"
"157","tits_2015","tits","before",1,1,0.010689128614354,0.00733244261373636,39,"304"
"158","tits_2015","tits","before",1,1,0,0.00832768570517751,15,"141"
"159","tits_2015","tits","before",1,1,0,0.000991105485201822,6,"138"
"160","tits_2015","tits","before",1,1,0.0066006600660066,0.92015615554422,93,"301"
"161","tits_2015","tits","before",1,1,0.0449731540318211,0.752191912702151,101,"300"
"162","tits_2015","tits","before",1,1,0.000837397172553076,0.480791504568059,74,"292"
"163","tits_2015","tits","before",1,1,0.0645288409437959,0.0979148673778412,84,"316"
"164","tits_2015","tits","before",1,1,0,0.0143069555810542,29,"286"
"165","tits_2015","tits","before",1,1,0.0098517314418009,0.505445116213577,95,"235"
"166","tits_2015","tits","before",1,1,0.00226589823161421,0.00831220173531174,16,"168"
"167","tits_2015","tits","before",1,1,0.119936620527724,0.0136415890584314,35,"144"
"168","tits_2015","tits","before",1,1,0,0.00164351995587972,6,"90"
"169","tits_2015","tits","before",1,1,0,0.00267379996965282,9,"170"
"170","tits_2015","tits","before",1,1,0.0011083197872026,0.0154870129845792,31,"321"
"171","tits_2015","tits","before",1,1,0.0641347716861238,0.0131045355107668,46,"317"
