"network","animal","condition","replicate_num","density","n_nodes","effective_information"
"mouse_no_injection","mouse","after","68","0.858974358974359","13","0.0896606975658487"
"mouse_no_injection","mouse","after","69","0.539473684210526","20","0.228731455963458"
"mouse_no_injection","mouse","after","70","0.743589743589744","13","0.145622336160082"
"mouse_no_injection","mouse","after","71","0.863636363636364","11","0.0904605411808096"
"mouse_no_injection","mouse","after","72","0.634199134199134","22","0.191941826418428"
"mouse_no_injection","mouse","after","73","0.75","12","0.134871563253668"
"Bats","Bats","Pre","1","0.183870968","31","0.440601386"
"Bats","Bats","Post","1","0.175268817","31","0.416106377"
"LattanzioMiles","tree lizards","high burn",NA,"0.16","25","0.629211294984504"
"LattanzioMiles","tree lizards","low burn",NA,"0.142292490118577","23","0.720395713353399"
"LattanzioMiles","tree lizards","no burn",NA,"0.150537634408602","31","0.633546040635576"
"burnsetal2020","wood ants","before","2b","0.217948717948718","13","0.606358847040051"
"burnsetal2020","wood ants","after","2b","0.104575163398693","18","0.767790482006362"
"burnsetal2020","wood ants","before","2a","0.428571428571429","7","0.509207447516218"
"burnsetal2020","wood ants","after","2a","0.285714285714286","7","0.61531111011372"
"burnsetal2020","wood ants","before","12","0.205128205128205","13","0.62753043472762"
"burnsetal2020","wood ants","after","12","0.0995670995670996","22","0.716278579671484"
"burnsetal2020","wood ants","before","10","0.147058823529412","17","0.659004930069062"
"burnsetal2020","wood ants","after","10","0.120879120879121","14","0.811958674727523"
"burnsetal2020","wood ants","before","9","0.12280701754386","19","0.70039613306123"
"burnsetal2020","wood ants","after","9","0.0988142292490119","23","0.699390818462913"
"burnsetal2020","wood ants","before","8","0.147368421052632","20","0.581656508606096"
"burnsetal2020","wood ants","after","8","0.105263157894737","20","0.307669202101048"
"burnsetal2020","wood ants","before","7","0.106719367588933","23","0.698536746390952"
"burnsetal2020","wood ants","after","7","0.3","5","0.827729376770643"
"burnsetal2020","wood ants","before","6","0.111111111111111","27","0.662900180889562"
"burnsetal2020","wood ants","after","6","0.0806451612903226","32","0.710335484334905"
"burnsetal2020","wood ants","before","3","0.151515151515152","22","0.538784546335"
"burnsetal2020","wood ants","after","3","0.0804597701149425","30","0.683429635136202"
"Stickleback","Stickleback","Pre","1","1","8","0.0665264261039322"
"Stickleback","Stickleback","Pre","2","1","8","0.0695523231498183"
"Stickleback","Stickleback","Pre","3","1","8","0.0653134232482366"
"Stickleback","Stickleback","Pre","4","1","8","0.0692984307301613"
"Stickleback","Stickleback","Pre","5","1","8","0.0648948012551303"
"Stickleback","Stickleback","Post","1","1","8","0.0924356095103245"
"Stickleback","Stickleback","Post","2","1","8","0.0731803948222969"
"Stickleback","Stickleback","Post","3","1","8","0.070700190467667"
"Stickleback","Stickleback","Post","4","1","8","0.0742182753770781"
"Stickleback","Stickleback","Post","5","1","8","0.0657904850159198"
"tits_2015","tits","before","1","0.224796371262742","203","0.386169729211853"
"tits_2015","tits","after","1","0.122139303482587","336","0.44714050975404"
"beetle","beetle","1","T1","0.370114943","30","1.45106709868878"
"beetle","beetle","2","T1","0.427586207","30","1.26076724163523"
"beetle","beetle","1","T2","0.409195402","30","1.34120944527598"
"beetle","beetle","2","T2","0.510344828","30","1.03344785212899"
"beetle","beetle","1","T3","0.443349754","29","1.23724370232832"
"beetle","beetle","2","T3","0.384236453","29","1.43746498640859"
"beetle","beetle","1","T4","0.356321839","30","1.5395188465875"
"beetle","beetle","2","T4","0.4","30","1.39208985459264"
