Focal.Letter.ID,TubPeriod,node,strength,betweenness,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
HH,C4_1,5,2.04373423,24,0.4313604,1,C,M,C4,7.178,43
HH,C4_2,5,3.436394455,15,0.504083476,2,C,M,C4,7.178,39
HK,C4_1,6,2.459588959,24,0.553365331,1,C,M,C4,6.167,29
HK,C4_2,6,3.237501962,43,0.59878147,2,C,M,C4,6.167,40
HL,C4_1,7,2.3933495,30,0.345313848,1,C,M,C4,6.656,36
HL,C4_2,7,3.617910378,21,0.451901826,2,C,M,C4,6.656,40
HM,C4_1,8,2.52402742,68,0.388735087,1,C,M,C4,7,41
HM,C4_2,8,3.10854419,10,0.588172816,2,C,M,C4,7,36
HO,C4_1,9,1.726992654,2,0.665516026,1,C,M,C4,6.535,29
HO,C4_2,9,3.122891797,17,0.628978084,2,C,M,C4,6.535,29
HP,C4_1,10,2.423291238,21,0.296442688,1,C,M,C4,7.238,47
HP,C4_2,10,3.350399574,33,0.53204141,2,C,M,C4,7.238,42
HT,C4_1,11,1.636411993,8,0.714579082,1,C,M,C4,6.168,27
HT,C4_2,11,0.368178701,0,1,2,C,M,C4,6.168,6
HU,C4_1,12,2.322458663,57,0.212949219,1,C,M,C4,6.628,31
HU,C4_2,12,2.158572448,18,0.404653715,2,C,M,C4,6.628,24
HV,C4_1,13,1.802006178,3,0.499535399,1,C,M,C4,6.035,19
HV,C4_2,13,2.254081592,25,0.382931904,2,C,M,C4,6.035,26
HX,C4_1,14,1.950777991,1,0.137709453,1,C,M,C4,6.92,43
HX,C4_2,14,2.434672427,4,0.540131588,2,C,M,C4,6.92,30
HZ,C4_1,15,0.800550165,0,0.47743521,1,C,M,C4,7.301,30
HZ,C4_2,15,2.696417355,29,0.516920129,2,C,M,C4,7.301,35
SA,C4_1,16,2.345603568,6,0.628643292,1,C,F,C4,6.092,26
SA,C4_2,16,2.673004271,13,0.63472435,2,C,F,C4,6.092,18
SC,C4_1,17,1.218454611,4,0.287420431,1,C,F,C4,6.432,21
SC,C4_2,17,1.491296831,0,0.471106898,2,C,F,C4,6.432,14
SD,C4_1,18,0.853749927,4,0.666666667,1,C,F,C4,6.774,10
SD,C4_2,18,0.688342265,0,0.538755876,2,C,F,C4,6.774,13
SE,C4_1,19,2.817642656,60,0.432924282,1,C,F,C4,6.915,36
SE,C4_2,19,2.606298839,63,0.589899517,2,C,F,C4,6.915,37
SK,C4_1,20,3.107613515,82,0.426365636,1,C,F,C4,6.963,30
SK,C4_2,20,3.202649189,11,0.592637656,2,C,F,C4,6.963,22
SL,C4_1,21,2.884209442,13,0.574968011,1,C,F,C4,7.543,34
SL,C4_2,21,4.242882384,47,0.493958533,2,C,F,C4,7.543,34
SM,C4_1,22,2.200092432,44,0.253112061,1,C,F,C4,7.748,42
SM,C4_2,22,2.127317426,6,0.719654085,2,C,F,C4,7.748,36
SO,C4_1,23,1.399664463,23,0.310063795,1,C,F,C4,6.961,21
SO,C4_2,23,0.76713623,0,0.666666667,2,C,F,C4,6.961,11
SP,C4_1,24,1.584931509,4,0.429023583,1,C,F,C4,6.574,13
SP,C4_2,24,3.266413389,21,0.508718549,2,C,F,C4,6.574,25
SS,C4_1,25,0.927478725,9,0.166032083,1,C,F,C4,7.171,14
SS,C4_2,25,3.376082808,42,0.40020124,2,C,F,C4,7.171,31
ST,C4_1,26,2.982128569,16,0.399895901,1,C,F,C4,7.014,36
ST,C4_2,26,3.626992629,15,0.46609392,2,C,F,C4,7.014,39
SU,C4_1,27,1.912223075,11,0.425016951,1,C,F,C4,6.448,24
SU,C4_2,27,3.471532957,22,0.552157364,2,C,F,C4,6.448,29
SV,C4_1,28,0.705917556,0,0,1,C,F,C4,5.831,17
SV,C4_2,28,0.96866992,0,0.67702671,2,C,F,C4,5.831,7
SX,C4_1,29,1.44139191,4,0.537047438,1,C,F,C4,7.031,20
SX,C4_2,29,1.208924683,0,0.454584797,2,C,F,C4,7.031,16
SZ,C4_1,30,0.752492571,0,0.340538636,1,C,F,C4,6.736,23
