box,IDA[inside_first],sexA,IDB[inside_after_IDA],sexB,number_encounters,time_together[sec],date_obs
24,00074bdb9c,XY,00075b5bfa,XX,4,894,6-Mar
24,00074bdb9c,XY,00074f0477,XX,4,4045,6-Mar
24,00074bdb9c,XY,00075b38ca,XX,2,2492,6-Mar
24,00074bdb9c,XY,00075b39cc,XX,6,2866,6-Mar
24,00074bdb9c,XY,00074ff562,XX,6,3586,6-Mar
24,00074bdb9c,XY,00074f0477,XX,8,819,7-Feb
24,00074bdb9c,XY,00074d9e9e,XX,2,19,7-Feb
24,00074bdb9c,XY,00074ed1e1,XX,3,558,7-Feb
24,00074bdb9c,XY,00075d4864,XX,1,421,7-Feb
24,00074bdb9c,XY,00075b3038,XX,1,120,7-Feb
24,00074bdb9c,XY,00075b5bfa,XX,10,5464,8-Mar
24,00074bdb9c,XY,00075b25de,XY,3,78,8-Mar
24,00074bdb9c,XY,00074f75b7,XY,5,1245,8-Mar
24,00074bdb9c,XY,00074f0477,XX,4,232,8-Mar
24,00074bdb9c,XY,00075b39cc,XX,4,252,8-Mar
24,00074bdb9c,XY,00075b3038,XX,8,4272,8-Mar
24,00074bdb9c,XY,00075d4864,XX,9,8976,8-Mar
24,00074bdb9c,XY,00074ed1e1,XX,30,5721,8-Mar
24,00074bdb9c,XY,00074ff562,XX,6,731,8-Mar
24,00074bdb9c,XY,00074f0477,XX,1,3,9-Feb
10,00074be0ac,XY,000757cfa9,XX,2,2125,1-Feb
10,00074be0ac,XY,00074da6b4,XY,7,8364,1-Feb
10,00074be0ac,XY,00075b4ca0,XY,10,2955,1-Feb
10,00074be0ac,XY,00074d9c87,XX,2,3619,1-Feb
10,00074be0ac,XY,000757b515,XY,6,5431,1-Feb
10,00074be0ac,XY,00074d8ad8,XX,8,5453,1-Feb
10,00074be0ac,XY,00074da036,XX,7,5745,1-Feb
10,00074be0ac,XY,00075a6708,XX,9,5292,1-Feb
10,00074be0ac,XY,00075b7c89,XY,2,1667,1-Feb
10,00074be0ac,XY,00074daa3c,XX,5,3589,1-Feb
10,00074be0ac,XY,00074dd577,XX,3,5348,1-Feb
10,00074be0ac,XY,00074d8697,XY,4,750,1-Feb
10,00074be0ac,XY,00074da5e8,XX,2,5310,1-Feb
10,00074be0ac,XY,00074db098,XX,2,2953,1-Feb
10,00074be0ac,XY,00074db688,XX,7,2965,1-Feb
10,00074be0ac,XY,00075b135d,XX,4,380,1-Feb
10,00074be0ac,XY,00074d8ad8,XX,2,2058,1-Mar
10,00074be0ac,XY,00074db098,XX,2,1721,1-Mar
10,00074be0ac,XY,00075b7c89,XY,6,1080,1-Mar
10,00074be0ac,XY,00075b135d,XX,6,1782,1-Mar
10,00074be0ac,XY,00075b4ca0,XY,16,2262,1-Mar
10,00074be0ac,XY,00074da6b4,XY,17,7589,1-Mar
10,00074be0ac,XY,00074db688,XX,9,2161,1-Mar
10,00074be0ac,XY,00074da5e8,XX,1,77,1-Mar
10,00074be0ac,XY,00075a6708,XX,7,1699,1-Mar
10,00074be0ac,XY,00074da036,XX,2,2342,1-Mar
10,00074be0ac,XY,00074daa3c,XX,7,5796,1-Mar
10,00074be0ac,XY,000757cfa9,XX,3,34,1-Mar
10,00074be0ac,XY,00074d9c87,XX,3,357,1-Mar
9,00074be0ac,XY,00074db098,XX,3,334,10-Feb
9,00074be0ac,XY,00074dca60,XY,2,1271,10-Feb
9,00074be0ac,XY,00075a6708,XX,20,5310,10-Feb
9,00074be0ac,XY,00075a7c79,XY,21,5953,10-Feb
9,00074be0ac,XY,00074daa3c,XX,3,2647,10-Feb
9,00074be0ac,XY,00075b135d,XX,7,2938,10-Feb
9,00074be0ac,XY,00074da5e8,XX,2,2930,10-Feb
